 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
1965831,202301,0001-0600,ZZZ.Airport,US,,,,1700,,,,,,,,Tower ZZZ,Air Carrier,Boeing Company Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Final Approach,Other Instrument Approach,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tower ZZZ,Air Carrier,Boeing Company Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Final Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Facility SFO.Tower,,Government,Handoff / Assist,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 23,,,,,1965831,,,,,,,,,,,,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT,,,Automation Aircraft Terrain Warning; Person Flight Crew; Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance; Air Traffic Control Separated Traffic; Flight Crew FLC complied w / Automation / Advisory; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Executed Go Around / Missed Approach; General Flight Cancelled / Delayed,Weather; Procedure; Human Factors; Environment - Non Weather Related; Aircraft; Company Policy,Aircraft,"Aircraft X announced to Local Control that they were going around. This was also very surprising as the weather was good for meeting the minimums; and no one else had gone around for quite some time; except the previous arrival Aircraft Y. There was also a consistent crosswind however no wind shear of any kind reported. They were given go around instructions and read them back. They were given go around instructions; read them back; and Local coordinated with TRACON. When the Controller asked the pilot for the reason; they also stated terrain warning. The go around was coordinated with Clearance. There was no Low Altitude alert generated from the surveillance equipment.In this case; there was Aircraft Z that had been waiting for departure to cross XXL and depart XXR. I told the Local Controller to coordinate 3;000 ft. with TRACON with the go arounds at 4;000 ft. and launch them XXL beneath the others; as they were a northeast departure and the go arounds would be turned to a south downwind. This was successfully accomplished; albeit a little hesitantly. Watching the replay; they were not descending at a steeper than normal rate to meet the crossing at ZZZZZ at 1;800 ft. After ZZZZZ; they were descending at a normal rate to the 3.5NM 1;200 ft. crossing with rising terrain beneath them. It is only speculation; but experienced speculation just the same; that their rate of descent triggered the GPWS. Something funky occurred with these two aircraft and only these two aircraft. They were both same aircraft fleet and assumably the same nav/GPWS package. Maybe that needs to be looked at for an update.",,,,"A Tower Controller reported two aircraft in a row initiated go arounds due to receiving Terrain Warnings on short final. The reporter reviewed the aircrafts' approach paths and reported they both complied with the appropriate crossing restrictions on the approach.",
1965843,202301,1801-2400,ZLC.ARTCC,UT,,,,8600,,,,,,,,Center ZLC,Air Taxi,Light Transport,,1,Part 135,IFR,Ambulance,,Initial Climb,None,Class E EKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X; Facility ZLC.ZRTCC,,Government,Enroute,Air Traffic Control Fully Certified,,,Communication Breakdown,Party1 ATC; Party2 Flight Crew,,1965843,,,,,,,,,,,,ATC Issue All Types; Airspace Violation All Types; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter CFTT / CFIT,,,Person Air Traffic Control,,Air Traffic Control Issued New Clearance; Flight Crew Requested ATC Assistance / Clarification,Procedure,Procedure,"Aircraft X departed ZZZ; asked for IFR clearance to WMC. I issued leaving one zero thousand cleared to WMC via direct climb and maintain one four thousand. The pilot replied with 'we'd like to stay on filed route.' I cleared the aircraft to the WMC airport via direct FESKO as filed (route was FESKO...WMC) climb and maintain one four thousand. I apparently omitted the leaving one zero thousand the second time thought the aircraft continued a climb.",,,,"ZLC Controller reported failure to issue correct clearance to protect the MVA resulting in a CFIT violation.",
1965896,202301,0601-1200,PTKK.Airport,FO,,,0,,,VMC,,,,,,Tower ZZZZ,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,GPS; FMS Or FMC,Landing,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 60; Flight Crew Total 9087; Flight Crew Type 2441,,Communication Breakdown; Distraction; Troubleshooting; Workload,Party1 Flight Crew; Party2 ATC,,1965896,,,,,,,,,,,,ATC Issue All Types; Ground Event / Encounter Ground Equipment Issue,,N,Person Flight Crew,In-flight; Taxi,Flight Crew Requested ATC Assistance / Clarification,Human Factors; Airport,Human Factors,"Arrived TKK to find Runway 4 PAPI Out of Service. And NOT NOTAM's Out of Service. Airport management refuses to fix or NOTAM Out of Service. Also Out of Service are REIL on Runway 4. Runway end lights are inadequate on both ends of the Runway as only 3 of 8 are operation. Multiple lights are not just burned out but completely missing. This airport is now DANGEROUS for night-time operations with these defects.",,,,"Air Carrier Captain reported several airport lights inoperable at PTKK airport and no NOTAM's available. The Captain states this airport is now unsafe for night operations.",
1965943,202301,,ZZZ.Airport,US,,,,,,,,,,,,,Air Carrier,Commercial Fixed Wing,,,Part 121,,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Air Carrier,Ramp,,,,Communication Breakdown,Party1 Ground Personnel; Party2 Ground Personnel,,1965943,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Weight And Balance,,,Person Ground Personnel; Person Other Person,In-flight; Routine Inspection,General None Reported / Taken,Human Factors,Human Factors,"[Cargo Department] forwarded an email narrative stating an AOG Dangerous Goods commodity was loaded on the aircraft but shown held off. The flight had departed and after the revision was made there was no significant weight change however; the concern is [the departure crew] did not verify and confirm the final load record. With that mentioned; not knowing what was loaded on the aircraft; in particular not being cognizant of Dangerous Goods shipments being loaded is a safety risk for all souls on board. There were multiple Dangerous Goods shipments loaded in the manual pit entailing:- corrosive material- nonflammable gas- flammable liquid- miscellaneous Hazmat",,,,"Air carrier ground personnel reported Dangerous Goods documents incorrectly listed dangerous goods on board. No DG cargo was loaded onboard.",
1965967,202301,0001-0600,,,,,0,,,VMC,,,Night,,,,Air Carrier,B767-300 and 300 ER,,2,,IFR,Cargo / Freight / Delivery,FMS Or FMC,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,Turbine Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,,,,1965967,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Landed As Precaution; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Returned To Departure Airport; General Flight Cancelled / Delayed,Aircraft,Aircraft,"Shortly after takeoff we experienced a power loss on the Left Engine. We immediately began to configure the aircraft for single engine operation per AOM and notified ATC of our issue and our intention to return to ZZZ for landing. After configuring the power was restored to the Left Engine automatically. We reconfigured for two engine operations; [requested priority handling] and landed on Runway XXL without further incident.",,,,"Pilot reported power loss on the Left Engine after take off. Flight crew restored power to the affected engine and returned to landing at departure airport.",
1965976,202301,0601-1200,ZKC.ARTCC,KS,,,,,,,,,,,,UNICOM ZZZ,Fractional,Medium Transport,,2,Part 91,,Ferry / Re-Positioning,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Fractional,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP),,,Fatigue; Workload,,,1965976,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance; Ground Event / Encounter Loss Of Aircraft Control; Ground Incursion Taxiway,,,Person Flight Crew; Person Ground Personnel,Taxi,General None Reported / Taken,Human Factors; Weather,Human Factors,"I was the Pilot Flying on Aircraft X from ZZZ1-ZZZ2 on Day 0. Halfway through the flight we received word that the ZZZ2 was shut down due to snow and snow removal. The weather had deteriorated badly. It was fine for our forecasted time of arrival and it didn't require an alternate. I didn't think to add an alternate either. After speaking with Dispatch; we decided that if the ZZZ2 airport was not open; we would divert to ZZZ. The weather was marginally okay; and it's a typical diversion airport for ZZZ2 as the passengers can drive over in an hour or so. The flight deck did get busy during the descent. We were estimating an arrival at ZZZ2 at XA:10Z; and the airport was supposed to reopen at XA:00; and I honestly expected it to reopen. We received a message from Center that the closure time had been extended to XA:30Z. At this point we elected to proceed to ZZZ. I had already checked the weather; the approaches; the NOTAMs and didn't see anything I didn't like. I also had the Captain phone the FBO in ZZZ to ask about ground conditions since there wasn't an ATC Tower on the field. The report was braking was medium and there was light snow. I elected to fly the RNAV (RNP AR) Y Approach. I landed uneventfully and it was a smooth touchdown and rollout. I maximized my use of the thrust reversers and didn't really utilize the brakes until I was below 60 kts. I'd say. I chose to continue smoothly decelerating and I planned to exit the runway at the end; at Taxiway XX. I handed the controls off to the Captain at a safe taxi speed and he exited the runway by very slowly making a left turn on XX; and then another slow left turn on XY. As I was in the middle of my after landing flows; I began to feel the airplane slide. I looked up and he was trying to turn left but the airplane was heading straight ahead towards the edge of the taxiway. Beyond the taxiway was a small curb; a fence and a small hill. I knew he was using the brakes fully; and he maximized his use of reverse thrust. I was convinced we were going to run off the taxiway; and by the time we had stopped I wasn't sure if we had or not. I was sort of in a state of shock at the time; and I think he barely just let off the brakes as the nose wheel steering tiller was all the way to the left; and the airplane began slowly turning on the taxiway. We centered the aircraft on XY very slowly. Airport Operations was on frequency and I told them to come down and check our skid marks in the snow to see if we had gone off the taxiway. They arrived and said we'd missed it by a half an inch. As we continued to taxi to the FBO; airport operations told us that XX was NOTAMed closed. I didn't recall seeing any NOTAM; and I told him that. He said he'd look into it. We parked and shut down without any further incident. Upon review of my outbound paperwork; indeed the XX closure was on my flight release paperwork. But I didn't have any paperwork for ZZZ for the flight in question. I was connected to my aircraft WIFI and I was using the Jeppesen App to look at the weather; which was updating fine. The NOTAMs never showed up; and thus I assumed there weren't any. Also complicating this was my fatigue level. It was a very early morning. I have had several minimum rest overnights in the last week and they really add up. I had already called in fatigued earlier in the week for a similar situation. But I felt rested enough to do this trip; and admittedly I felt a little pressure because I didn't want to call fatigue twice in one week. But the short overnights; early mornings and hectic days really take a toll on the crew members; including myself. I just wanted to get that plane from A to B to C so that I could get off it and get home the next day. The operations and scheduling were very taxing on me this week. I should clarify; that I was not in a state of fatigue this morning; but I was certainly not my best. I don't think either of us were. I encourage our weeks duty and rest to be reviewed. I have attached screenshots of my Jeppesen App where I was reviewing the weather and the NOTAMs for this flight. My suggestion is to alter our scheduling so that we do not have chronic minimum rest (or close to it) overnights with very early shows. I can adapt to time changes and body clock shifts; but these 10-11 hour rest periods with very early show times do not allow me the time to do this. The other suggestion I have is for the FAA and the NOTAM system. They are notoriously complicated; and very difficult to understand. More than half of them are absolutely useless and it's just more garbage to try to sort through. I need important NOTAMs to be published and displayed.",,,,"Pilot reported loss of aircraft control during taxi following landing rollout that resulted in a taxiway excursion.",
1966004,202301,0601-1200,ZZZ.Airport,US,,,,6000,,VMC,,,Daylight,,,TRACON ZZZ,Air Carrier,A321,,2,Part 121,IFR,Passenger,,Climb; Initial Climb,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Electrical Distribution Busbar,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Communication Breakdown; Troubleshooting,Party1 Flight Crew; Party2 Maintenance,,1966004,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter Fuel Issue,,,Automation Aircraft Other Automation,In-flight,Air Traffic Control Provided Assistance; Flight Crew Diverted; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Landed As Precaution; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft; Human Factors,Aircraft,"After take off Runway XXL : During Climb at approximately 6;000 ft. we received the ECAM ELEC: DC ESS BUS SHED. As I was Pilot Monitoring; I asked FO (First Officer) to take the radios and continue our departure while I worked the QRC for immediate action or ECAM exceptions. We leveled at 8;000 ft. and discussed the ECAM and I proceeded to accomplish ECAM actions. We then asked ATC for vectors to work on a Maintenance issue. ATC complied and we proceeded with the [company procedure]. After the ECAM was complete I did the ECAM QRH follow up and ECAM Supplemental Manual. As there was no [solution] to the DC ESSENTIAL BUS FAULT; we then [requested priority handling] due ELEC. FO continued to fly and talk with ATC and I tried to contact Dispatch. I could not Find/Use the Crew phone app and later Dispatch provided VHF frequency for voice comm. As we were limited to NO ICING CONDITIONS; I requested Divert to ZZZ which would allow us to burn down fuel to allow normal landing/Not overweight.After we completed the ECAM procedure and follow up; we discussed our options to continue based on the electrical fault and restriction of: AVOID ICING CONDITIONS. I spent several minutes looking in the QRH for the Dispatch Frequencies and the AIRINC Sector Map with ZZZ1 Freq to contact Dispatch through Phone patch. We both discussed continuing to ZZZ2 or ZZZ and elected ZZZ as the more reasonable option for diversion. We wasted time trying to communicate to Dispatch and get Maintenance on line with a phone patch that failed. As I was trying to SOLVE and reset the DC ESS SHED BUS Fault it became apparent that there was no fix while airborne. Subsequent Diversion to ZZZ.The Event was NOT to be avoided and there was no FAULT before take off. Both myself and FO worked as we are trained to do. We employed the [company procedure]. We both communicated well and talked over our options. The issues we had were in establishing Voice communications with Dispatch and Maintenance Control in ZZZ2. In the end we were successful in contact through VHF to Dispatch. The phone patch to Maintenance failed; so I requested Diversion to ZZZ for Maintenance as we knew we could not avoid icing conditions at destination. I suggest adding the ZZZ AIRINC Map with the appropriate Sector Frequencies along with Dispatch VHF Frequencies to the QRH.",,,,"Captain reported during climb they received an ECAM ELEC: DC ESS BUS SHED warning. Flight crew elected to divert and make a precautionary landing.",
1966005,202301,0601-1200,ZZZ.Airport,US,,,0,,,,Icing; Snow,,,,,Ramp ZZZ,Air Carrier,A319,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,,,,1966005,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,,,,1967848,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Ground Equipment Issue; Ground Event / Encounter Object; Ground Event / Encounter Loss Of Aircraft Control,,,Person Flight Crew,Taxi,Flight Crew Regained Aircraft Control,Equipment / Tooling; Company Policy; Human Factors; Weather; Procedure,Human Factors,"Upon pushback from ZZZ Gate XX; as we began the turn; tail-west on to Taxiway XX; we were given permission to start engines. During the turn the tug began to slip and slide on the snow and ice. The tug did not appear to have any chains on the tires and the taxiways were covered in snow; and I presume; ice under the snow. The tug moved to a position to the left side of the flight deck at such an angle it was no longer able to push the aircraft back and became stuck on the ice. The Tug Driver asked me to set the brakes and I complied. The Tug Driver said they were going to remove the tow bar; move the tug; and re-attach from a new position to try the push from a different angle. However; the tow bar was now bound up and could not be removed from either the tug; nor the nose gear. Next; the Tug Driver said he was going to move the tug slightly to take the pressure off the tow bar and asked me to release the brakes. I complied and after informing the Tug Driver that the brakes were released; the tug began to try to move sideways away from the aircraft. During this tug movement; it felt like the tow bar became disconnected and fell off the nose gear. When the tow bar dropped off the nose gear; the aircraft began to move forward. The Tug Driver then urgently called; 'Captain!; Captain!'. I applied toe brakes immediately as I knew what had happened; and even though the wrong verbiage was used; I understood the urgency. After just a moment the Tug Driver stated; 'Set Brakes!'; but by that point I had the aircraft stopped. I set the brakes as requested. It is my impression that we may have moved about a ft. or less forward. A minute or so later the Tug Driver informed us that the aircraft had moved over the tow bar and the bar had become lodged between the two nose gear tires. I can only visualize what he meant; but I can say that they indicated they were now completely unable to remove the tow bar from under the nose gear. When it was determined that the tow bar was stuck and we were not going anywhere I stated that I was going to shut down both engines. A number of Ground Personnel had now shown up at the nose gear and I was concerned about personnel safety with the engines running. Numerous Maintenance and Ground Supervisors showed up in vehicles to survey the situation. Subsequently; quite a bit of banging could be heard; and felt from below; as they attempted to remove the tow bar from under the nose gear. A considerable time elapsed until I was told that Maintenance would need to cut the the tow bar loose. I have no idea how that was accomplished but eventually the tow bar was removed. Maintenance then asked if I could taxi into Gate XY; but I said no; as I wanted a nose gear inspection before attempting to move or to steer under my own power. I asked to be towed back into the gate. They agreed without question and a new tug was brought over; which had chains on the tires; and a new tow bar was connected. We were tugged back to Gate XY for inspection. After a couple of hours Maintenance had eventually replaced the tow-bar attachment coupler on the nose gear and cleared the aircraft to fly. We flew the truncated remainder of our sequence to ZZZ1 and ZZZ2.Snow and Ice on XX Ramp and Taxiway Echo. Tug did not have chains on tires. Suggest using chains on the tugs during these conditions.",,"Upon pushback from gate; as we began the turn to the taxiway centerline off Gate XX at ZZZ; the tug began to slip on the snow and ice. The tug then became stuck when it tried to push back at such an extreme angle it could no longer move the aircraft. The Tug Driver asked the Captain to set the brakes and he complied. The Tug driver said they were going to remove the tow bar and reattach to try the push from a different angle. However; the tow bar was now bound up and could not be removed. The Tug Driver asked the Captain to then release the brakes as he was attempting to maneuver the tug again. During this tug movement it felt like the tow bar became disconnected and the aircraft began to move forward. The Tug driver called; 'Captain;Captain' in an urgent manner. The Captain applied the toe brakes and at that moment the Tug driver asked him to set the brakes. The Tug driver then informed us that the aircraft had moved over the tow bar and lodged it between the two nose gear tires. A considerable time elapsed until the tow bar was eventually cut off. A new tow bar was connected and we were tugged back to Gate XY for inspection.weather-snow and iceSuggest use of tool associated with ground operations such as chains. Better ramp conditions with the snow and ice build up as it was not plowed.",,"Air carrier flight crew flying an A319 aircraft reported loss of aircraft control during pushback.",
1966018,202301,0001-0600,JFK.Airport,NY,,,0,,,,,,,,,Ground JFK,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,Situational Awareness; Troubleshooting; Workload,,,1966018,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,Taxi,Flight Crew Became Reoriented,Airport,Airport,"I've noticed in the past that taxiing down bravo taxiway there are no taxiway signs for K taxiway on Bravo. It makes it very hard to see K. There are taxiway signs for every taxiway except K. It would be very easy to look at your own ship on the moving map and say turn right at the next taxiway and cleared to cross; not see K because there are no signs and turn right at the next sign and cross. Then you are at J and the active 4L. Important taxiway signs missing. As we know; taxi clearance B to K cross Runway 31L is a very highly used clearance. At minimum there should be taxiway signs at K on B. Taxiway center line lights that follow that route would be highly effective also.",,,,"Air Carrier Pilot reported there was no Taxiway signage for Kilo while taxing on Bravo. The pilot stated after being given a clearance 'taxi B to K'; Kilo was difficult to identify.",
1966028,202301,0001-0600,ZZZZ.ARTCC,FO,,,,,,VMC,,,Night,,,,Air Carrier,B767-300 and 300 ER,,2,Part 121,IFR,Cargo / Freight / Delivery,,Climb,Vectors,,,,,,,,,,,,,,,,,,,,,,,,,Hydraulic Main System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Air Carrier,Dispatcher,Dispatch Dispatcher,,,Communication Breakdown,Party1 Dispatch; Party2 Other,,1966028,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance,,N,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Returned To Departure Airport; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,"Shortly after takeoff; the flight crew reported R/H HYD failure. Tried SATCOM. Lost SATCOM multiple times and was unable to get the crew and Maintenance Control on conference call to discuss options. Crew ran the QRH and after some time/multiple failed SATCOM attempts decided the best plan was to return to ZZZZ.Cause - SATCOM unreliable in ZZZZ.Suggestions - Not sure if it's our equipment or some type of interference. Aircraft was in-range/west of CAN at approximately 13;000 ft.",,,,"Dispatcher reported that the flight crew reported an R/H HYD failure after takeoff. The flight crew ran the QRH and check lists. The flight crew elected to perform and air turn back and land at departure airport.",
1966048,202301,1201-1800,MIA.Airport,FL,,,,11000,,,,,,,,TRACON MIA,Corporate,Medium Transport; Low Wing; 2 Turbojet Eng,,2,Part 91,IFR,Ferry / Re-Positioning,FMS Or FMC; GPS,Descent,STAR FROGZ3,Class B MIA,,,,,,,,,,,,,,,,,,,,,,,,Navigation Database,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Corporate,Pilot Not Flying; Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Troubleshooting; Workload; Situational Awareness,,,1966048,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Other / Unknown,,N,Person Flight Crew,In-flight,Flight Crew Became Reoriented; Flight Crew Overrode Automation,Software and Automation; Chart Or Publication; Aircraft,Chart Or Publication,"While flying the FROGZ3 into MIA; a discussion was brought up during the planning and executing the arrival about how the chart was so hard to read as two courses are right on top of each other. There is also contradictory crossing restrictions on the 26/27 path. We had an at or above 11;000 feet first then a between 16;000-14;000 feet at the next fix. Older FMS systems will try to dive down to 11;000 feet for that first fix then climb back up for the next fix. The crew of the flight was a higher experienced one so we caught it in time but this could lead other crews to a pilot deviation. Recommend changing the flight paths on route and changing the Chart so that it is clearer to the flight crews.",,,,"Corporate jet Captain reported there is an altitude discrepancy on the STAR FROGZ3 arrival into MIA. The Captain stated the chart is also confusing with too many overlapping courses.",
1966116,202301,0601-1200,,,,,,,,VMC,,,Daylight,,,,Air Carrier,A319,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Emergency Exit Lighting,,X,Design; Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Door Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown; Situational Awareness; Confusion,Party1 Flight Attendant; Party2 Other,,1966116,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,N,Automation Aircraft Other Automation; Person Flight Attendant,In-flight,General None Reported / Taken,Aircraft; Human Factors; Procedure,Aircraft,"Emergency Exit Signs: All illuminated all the time. Wiring issue. Please ensure all emergency lights are off as these are to only be on during an emergency. Additionally; having these lights on all the time disturbs our Customers. Having these turned off would be consistent across the fleet. This is a safety hazard:A. Defeats the purpose of Flight Attendant (FA) turning on emergency lights.B. Passengers get accustomed to emergency exit lights always being on; thus; during an emergency; eyes are not directed toward exits because their eyes have gotten so used to those exit lights always being on; thus increasing time needed to locate an exit and reducing quick evacuation.C. Harsh and bright light always being on is extremely Customer-unfriendly as passengers are unable to rest their eyes and relax; most especially on early morning and late night flights.D. Ensuring emergency lights are only on when activated by FA would create necessary consistency with entire fleet.E. No other fleet type has emergency exit lights always on. Please ensure emergency exit lights are off at all times unless activated for consistency.Please audit entire Airbus fleet to ensure emergency exit lighting wiring is correct; that emergency lights are only illuminated when activated by FA pressing 'emergency lights' button on FA panel; and extinguished at all other times. Please make the default setting for emergency exit lights to be off for all Airbus aircraft. Please create a maintenance code to address this so these can be fixed as soon as possible. Emergency lights should only be on when FAs or Pilots activate these in emergency situations; not constantly; please help. Thanks!",,,,"A319 Flight Attendant reported concerns over emergency exit lighting operations.",
